state_name,county_name,aqi
California,Alameda,11
California,Butte,6
California,Fresno,11
California,Kern,7
California,Kern,3
California,Kern,7
California,Los Angeles,13
California,Los Angeles,18
California,Mono,5
California,Sacramento,35
California,San Bernardino,18
California,San Diego,23
California,Santa Barbara,0
California,Shasta,11
Pennsylvania,Erie,7
Pennsylvania,Philadelphia,13
Texas,Bexar,22
California,Humboldt,30
California,Humboldt,11
California,Riverside,18
California,San Bernardino,11
California,San Bernardino,22
California,San Bernardino,11
California,San Diego,24
California,Santa Barbara,11
California,Santa Barbara,7
California,Santa Clara,11
California,Sonoma,11
California,Stanislaus,0
Pennsylvania,Dauphin,6
Pennsylvania,Lancaster,5
Pennsylvania,Philadelphia,10
Texas,Bexar,6
Texas,Dallas,2
California,Butte,9
California,Kern,19
California,Los Angeles,23
California,Los Angeles,33
California,Los Angeles,10
California,Monterey,16
California,Placer,13
California,Santa Barbara,47
California,Santa Barbara,0
California,Santa Clara,6
California,Tulare,11
Pennsylvania,Berks,19
Pennsylvania,Berks,16
Pennsylvania,Erie,18
Pennsylvania,Lackawanna,5
Pennsylvania,Philadelphia,13
Pennsylvania,Washington,9
Texas,El Paso,47
California,Alameda,11
California,Contra Costa,15
California,El Dorado,16
California,Fresno,5
California,Mendocino,0
California,Riverside,13
California,Riverside,40
California,San Diego,10
California,Solano,3
Pennsylvania,Allegheny,5
Pennsylvania,Luzerne,11
Texas,Bexar,34
Texas,Bexar,18
Texas,Dallas,25
Texas,El Paso,7
Texas,El Paso,18
Texas,Harris,14
California,Alameda,11
California,Butte,14
California,El Dorado,8
California,El Dorado,6
California,Fresno,35
California,Los Angeles,38
California,Los Angeles,22
California,Los Angeles,93
California,Los Angeles,10
California,Los Angeles,11
California,Placer,6
California,Riverside,43
California,San Bernardino,5
California,San Diego,16
California,San Diego,7
California,San Luis Obispo,13
California,Santa Clara,10
California,Ventura,7
Pennsylvania,Allegheny,9
Pennsylvania,Allegheny,22
Pennsylvania,Lackawanna,11
Pennsylvania,Schuylkill,9
Texas,El Paso,40
Texas,El Paso,30
Texas,Harris,11
Texas,Harris,16
Texas,Tarrant,10
California,El Dorado,18
California,Los Angeles,17
California,Los Angeles,24
California,Marin,8
California,Monterey,7
California,Monterey,1
California,Napa,10
California,Placer,16
California,San Bernardino,6
California,San Diego,6
California,San Francisco,20
California,San Luis Obispo,6
California,Sutter,28
California,Tulare,8
California,Ventura,19
Pennsylvania,Allegheny,8
Pennsylvania,Beaver,7
Pennsylvania,Cambria,23
Pennsylvania,Schuylkill,6
Texas,Harris,9
Texas,Harris,34
Texas,Tarrant,5
California,Fresno,23
California,Kern,8
California,Los Angeles,20
California,Monterey,6
California,Orange,47
California,Orange,3
California,Placer,10
California,Sacramento,7
California,Sacramento,5
California,San Bernardino,2
California,San Bernardino,10
California,San Francisco,8
California,San Joaquin,3
California,San Joaquin,5
California,Santa Clara,10
Pennsylvania,Dauphin,16
Pennsylvania,Dauphin,14
Pennsylvania,Philadelphia,24
Texas,El Paso,40
Texas,El Paso,15
Texas,Harris,9
Texas,Harris,11
Texas,Tarrant,15
Texas,Travis,11
California,Alameda,15
California,Calaveras,3
California,Contra Costa,13
California,Fresno,15
California,Los Angeles,59
California,Orange,16
California,Sacramento,20
California,Sacramento,5
California,San Diego,24
California,San Diego,6
California,San Francisco,16
California,San Francisco,16
California,Santa Barbara,2
California,Sutter,5
California,Tulare,17
Pennsylvania,Allegheny,15
Pennsylvania,Erie,6
Pennsylvania,Monroe,1
Pennsylvania,Washington,2
Pennsylvania,Washington,0
Pennsylvania,Westmoreland,1
Texas,Bexar,11
Texas,Webb,10
California,Alameda,5
California,Alameda,11
California,El Dorado,23
California,Los Angeles,13
California,Los Angeles,20
California,Mendocino,8
California,Sonoma,17
Pennsylvania,Bucks,5
Pennsylvania,Lackawanna,0
Pennsylvania,Philadelphia,11
Texas,Bexar,14
Texas,Dallas,6
Texas,El Paso,10
Texas,El Paso,15
California,El Dorado,6
California,Los Angeles,14
California,Los Angeles,28
California,Los Angeles,16
California,Orange,10
California,Orange,47
California,Sacramento,14
California,San Diego,39
California,Santa Barbara,2
California,Santa Barbara,2
California,Santa Clara,36
California,Solano,14
California,Yolo,6
Pennsylvania,Allegheny,3
Pennsylvania,Lawrence,14
Pennsylvania,Lehigh,2
Pennsylvania,Washington,1
Pennsylvania,Westmoreland,0
Pennsylvania,Westmoreland,1
Pennsylvania,York,1
Texas,Bexar,7
Texas,El Paso,6
Texas,Webb,18
California,Alameda,6
California,Contra Costa,8
California,El Dorado,1
California,Imperial,13
California,Los Angeles,9
California,Los Angeles,17
California,Orange,5
California,Riverside,7
California,Riverside,8
California,San Diego,6
California,Tulare,10
California,Tulare,5
California,Ventura,5
California,Ventura,2
Pennsylvania,Allegheny,5
Pennsylvania,Bucks,9
Pennsylvania,Philadelphia,8
Texas,Bexar,8
Texas,El Paso,1
Texas,El Paso,7
Texas,El Paso,2
Texas,El Paso,8
Texas,Harris,3
Texas,Harris,3
Texas,Webb,6
California,Fresno,9
California,Los Angeles,14
California,Mendocino,17
California,Sacramento,5
California,Sacramento,5
California,San Bernardino,3
California,Ventura,5
Pennsylvania,Allegheny,10
Pennsylvania,Allegheny,15
Pennsylvania,Beaver,6
Pennsylvania,Erie,7
Pennsylvania,Lackawanna,5
Pennsylvania,Montgomery,3
Texas,El Paso,5
California,Alameda,20
California,Contra Costa,8
California,Imperial,3
California,Kern,2
California,Los Angeles,2
California,Los Angeles,24
California,Los Angeles,14
California,Marin,16
California,Placer,6
California,Riverside,11
California,San Diego,10
California,San Diego,32
California,San Joaquin,6
California,Santa Barbara,5
California,Santa Barbara,3
California,Sutter,5
Pennsylvania,Bucks,1
Pennsylvania,Cambria,11
Pennsylvania,Cambria,7
Pennsylvania,Philadelphia,7
Pennsylvania,Washington,1
Texas,Tarrant,6
Texas,Webb,6
California,Alameda,5
California,Butte,11
California,Contra Costa,6
California,Fresno,10
California,Fresno,3
California,Orange,6
California,Sacramento,9
California,San Bernardino,6
California,San Bernardino,17
California,San Mateo,9
California,Santa Barbara,3
California,Solano,5
California,Stanislaus,6
Pennsylvania,Allegheny,7
Pennsylvania,Allegheny,2
Pennsylvania,Bucks,17
Pennsylvania,Philadelphia,2
Pennsylvania,Washington,3
Texas,El Paso,5
Texas,El Paso,6
California,Contra Costa,3
California,Imperial,26
California,Imperial,0
California,Los Angeles,5
California,Los Angeles,3
California,Los Angeles,3
California,Los Angeles,7
California,Riverside,7
California,San Diego,9
California,San Francisco,10
California,Santa Cruz,3
Pennsylvania,Adams,3
Pennsylvania,Berks,8
Texas,El Paso,14
Texas,El Paso,5
Texas,El Paso,9
Texas,Harris,10
California,Contra Costa,5
California,Los Angeles,6
California,Monterey,7
California,Sacramento,9
Pennsylvania,Beaver,5
Pennsylvania,Lawrence,15
Pennsylvania,Northampton,0
Pennsylvania,Philadelphia,17
Pennsylvania,Washington,2
Texas,Bexar,8
Texas,El Paso,14
Texas,El Paso,7
Texas,Harris,16
Texas,Tarrant,8
Texas,Bexar,5
Texas,El Paso,5
California,Contra Costa,6
California,Sacramento,3
Texas,El Paso,8
California,Los Angeles,23
Texas,Harris,3
Texas,Harris,2
Pennsylvania,Allegheny,1
Texas,El Paso,2
Pennsylvania,Lackawanna,0
California,Alameda,5
California,Alameda,8
California,Humboldt,2
California,Los Angeles,5
California,Mendocino,3
California,Orange,6
California,Riverside,7
Pennsylvania,Allegheny,8
Pennsylvania,Blair,5
Pennsylvania,Lackawanna,2
Pennsylvania,Philadelphia,8
Texas,Cameron,8
Texas,Dallas,0
Texas,El Paso,10
Texas,El Paso,27
Texas,Harris,2
Texas,Harris,6
Texas,Jefferson,3
Pennsylvania,Blair,0
California,Monterey,5
California,Monterey,6
California,Orange,6
California,Santa Barbara,6
California,Los Angeles,5
California,Solano,5
California,Contra Costa,2
Texas,El Paso,11
Pennsylvania,Erie,8
Texas,Bexar,7
Pennsylvania,Beaver,5
California,Mendocino,7
California,Imperial,13
Pennsylvania,Westmoreland,0
Pennsylvania,Allegheny,10
California,San Diego,6
California,Sonoma,3
Texas,Tarrant,9
Texas,Harris,5
California,San Francisco,6
Texas,Webb,8
California,Humboldt,3
California,Riverside,2
California,Los Angeles,10
California,San Bernardino,7
Texas,El Paso,5
California,Fresno,2
Texas,El Paso,6
Pennsylvania,Allegheny,7
California,Calaveras,2
California,Fresno,8
California,Imperial,10
California,Imperial,9
California,Imperial,0
California,Los Angeles,13
California,Mendocino,5
California,Placer,5
California,San Bernardino,6
California,San Bernardino,17
California,San Mateo,13
California,Santa Clara,8
California,Santa Cruz,5
California,Tuolumne,11
Pennsylvania,Dauphin,6
Pennsylvania,Dauphin,3
Pennsylvania,Erie,14
Pennsylvania,Schuylkill,0
Pennsylvania,Westmoreland,0
Texas,El Paso,3
Texas,Tarrant,7
Texas,Travis,5
Texas,McLennan,3
California,San Joaquin,15
California,Imperial,2
California,Contra Costa,8
California,Butte,3
California,San Bernardino,2
California,Los Angeles,9
California,Santa Barbara,2
California,Contra Costa,8
California,San Bernardino,13
California,Orange,0
California,Sacramento,5
