state_code,state_name,county_code,county_name,aqi
4,Arizona,13,Maricopa,18
4,Arizona,13,Maricopa,9
4,Arizona,19,Pima,20
8,Colorado,41,El Paso,9
12,Florida,31,Duval,15
12,Florida,31,Duval,13
12,Florida,57,Hillsborough,19
15,Hawaii,3,Honolulu,10
17,Illinois,167,Sangamon,20
18,Indiana,97,Marion,32
21,Kentucky,101,Henderson,8
21,Kentucky,111,Jefferson,6
21,Kentucky,145,McCracken,13
21,Kentucky,145,McCracken,13
22,Louisiana,33,East Baton Rouge,5
24,Maryland,510,Baltimore (City),33
25,Massachusetts,25,Suffolk,13
26,Michigan,163,Wayne,19
27,Minnesota,137,Saint Louis,16
29,Missouri,189,Saint Louis,10
34,New Jersey,3,Bergen,41
34,New Jersey,23,Middlesex,17
35,New Mexico,1,Bernalillo,11
35,New Mexico,45,San Juan,6
36,New York,61,New York,13
36,New York,61,New York,24
36,New York,63,Niagara,13
37,North Carolina,119,Mecklenburg,28
39,Ohio,49,Franklin,10
39,Ohio,61,Hamilton,17
40,Oklahoma,109,Oklahoma,14
41,Oregon,35,Klamath,31
41,Oregon,51,Multnomah,28
47,Tennessee,157,Shelby,38
49,Utah,35,Salt Lake,19
50,Vermont,7,Chittenden,18
50,Vermont,7,Chittenden,20
51,Virginia,59,Fairfax,39
51,Virginia,710,Norfolk City,15
51,Virginia,760,Richmond City,17
53,Washington,33,King,55
53,Washington,33,King,22
53,Washington,77,Yakima,35
55,Wisconsin,79,Milwaukee,10
4,Arizona,13,Maricopa,56
4,Arizona,19,Pima,30
8,Colorado,13,Boulder,28
8,Colorado,41,El Paso,9
8,Colorado,41,El Paso,9
15,Hawaii,3,Honolulu,6
17,Illinois,167,Sangamon,26
18,Indiana,97,Marion,27
19,Iowa,153,Polk,14
20,Kansas,173,Sedgwick,16
22,Louisiana,71,Orleans,5
24,Maryland,1,Allegany,9
24,Maryland,31,Montgomery,24
26,Michigan,163,Wayne,17
27,Minnesota,53,Hennepin,16
29,Missouri,47,Clay,6
29,Missouri,95,Jackson,3
30,Montana,63,Missoula,14
32,Nevada,31,Washoe,52
32,Nevada,31,Washoe,8
34,New Jersey,7,Camden,7
35,New Mexico,45,San Juan,17
35,New Mexico,45,San Juan,14
36,New York,55,Monroe,18
36,New York,63,Niagara,6
36,New York,93,Schenectady,19
39,Ohio,49,Franklin,11
39,Ohio,95,Lucas,13
40,Oklahoma,27,Cleveland,7
40,Oklahoma,143,Tulsa,13
40,Oklahoma,143,Tulsa,16
47,Tennessee,157,Shelby,74
49,Utah,11,Davis,22
49,Utah,35,Salt Lake,19
51,Virginia,59,Fairfax,15
51,Virginia,510,Alexandria City,13
51,Virginia,700,Newport News City,8
53,Washington,33,King,44
53,Washington,61,Snohomish,76
53,Washington,63,Spokane,32
54,West Virginia,25,Greenbrier,2
55,Wisconsin,79,Milwaukee,22
72,Puerto Rico,127,San Juan,35
72,Puerto Rico,127,San Juan,18
1,Alabama,73,Jefferson,23
4,Arizona,13,Maricopa,66
4,Arizona,13,Maricopa,14
4,Arizona,13,Maricopa,60
4,Arizona,19,Pima,20
4,Arizona,19,Pima,36
8,Colorado,41,El Paso,25
8,Colorado,41,El Paso,7
8,Colorado,41,El Paso,10
8,Colorado,41,El Paso,8
11,District Of Columbia,1,District of Columbia,22
12,Florida,11,Broward,17
12,Florida,11,Broward,24
12,Florida,11,Broward,15
12,Florida,57,Hillsborough,13
13,Georgia,89,DeKalb,8
17,Illinois,167,Sangamon,16
18,Indiana,141,St. Joseph,9
18,Indiana,163,Vanderburgh,15
25,Massachusetts,25,Suffolk,23
26,Michigan,99,Macomb,31
27,Minnesota,123,Ramsey,20
31,Nebraska,55,Douglas,28
32,Nevada,3,Clark,13
34,New Jersey,1,Atlantic,26
34,New Jersey,3,Bergen,11
35,New Mexico,1,Bernalillo,13
36,New York,59,Nassau,7
36,New York,63,Niagara,9
37,North Carolina,119,Mecklenburg,11
49,Utah,35,Salt Lake,31
49,Utah,49,Utah,42
49,Utah,49,Utah,15
53,Washington,77,Yakima,58
53,Washington,77,Yakima,57
55,Wisconsin,79,Milwaukee,14
55,Wisconsin,79,Milwaukee,9
55,Wisconsin,101,Racine,35
72,Puerto Rico,127,San Juan,28
80,Country Of Mexico,6,CHIHUAHUA STATE,45
4,Arizona,13,Maricopa,8
4,Arizona,13,Maricopa,18
4,Arizona,19,Pima,16
4,Arizona,19,Pima,30
4,Arizona,19,Pima,5
8,Colorado,5,Arapahoe,15
8,Colorado,31,Denver,28
8,Colorado,69,Larimer,5
8,Colorado,69,Larimer,6
9,Connecticut,1,Fairfield,24
12,Florida,11,Broward,5
12,Florida,31,Duval,13
12,Florida,31,Duval,16
12,Florida,86,Miami-Dade,43
15,Hawaii,3,Honolulu,5
15,Hawaii,3,Honolulu,7
17,Illinois,167,Sangamon,14
19,Iowa,153,Polk,18
21,Kentucky,111,Jefferson,15
21,Kentucky,145,McCracken,8
24,Maryland,33,Prince George's,3
25,Massachusetts,13,Hampden,19
26,Michigan,77,Kalamazoo,6
26,Michigan,77,Kalamazoo,6
27,Minnesota,53,Hennepin,32
32,Nevada,31,Washoe,13
34,New Jersey,17,Hudson,32
34,New Jersey,23,Middlesex,20
34,New Jersey,39,Union,16
36,New York,47,Kings,48
37,North Carolina,67,Forsyth,18
37,North Carolina,67,Forsyth,23
39,Ohio,35,Cuyahoga,36
39,Ohio,35,Cuyahoga,31
39,Ohio,35,Cuyahoga,11
39,Ohio,99,Mahoning,2
41,Oregon,29,Jackson,51
41,Oregon,39,Lane,32
47,Tennessee,93,Knox,27
47,Tennessee,157,Shelby,7
49,Utah,35,Salt Lake,20
49,Utah,49,Utah,23
51,Virginia,13,Arlington,16
51,Virginia,710,Norfolk City,6
54,West Virginia,39,Kanawha,8
1,Alabama,73,Jefferson,5
4,Arizona,19,Pima,13
4,Arizona,19,Pima,11
4,Arizona,19,Pima,5
8,Colorado,13,Boulder,11
8,Colorado,41,El Paso,31
8,Colorado,41,El Paso,23
8,Colorado,41,El Paso,9
8,Colorado,77,Mesa,20
9,Connecticut,1,Fairfield,24
12,Florida,11,Broward,8
12,Florida,31,Duval,11
12,Florida,31,Duval,18
12,Florida,57,Hillsborough,15
12,Florida,57,Hillsborough,17
12,Florida,95,Orange,9
12,Florida,99,Palm Beach,18
12,Florida,103,Pinellas,7
12,Florida,115,Sarasota,7
15,Hawaii,3,Honolulu,7
17,Illinois,31,Cook,9
18,Indiana,141,St. Joseph,17
20,Kansas,173,Sedgwick,9
24,Maryland,5,Baltimore,15
26,Michigan,163,Wayne,7
29,Missouri,510,St. Louis City,6
30,Montana,63,Missoula,19
31,Nebraska,55,Douglas,8
31,Nebraska,109,Lancaster,23
34,New Jersey,5,Burlington,45
34,New Jersey,7,Camden,18
34,New Jersey,27,Morris,17
35,New Mexico,1,Bernalillo,54
35,New Mexico,1,Bernalillo,10
35,New Mexico,1,Bernalillo,16
36,New York,61,New York,39
36,New York,63,Niagara,6
37,North Carolina,67,Forsyth,8
39,Ohio,35,Cuyahoga,17
39,Ohio,35,Cuyahoga,14
39,Ohio,35,Cuyahoga,14
